[2023-06-01 01:30:01,332300] front.INFO  [911a137f] [fac4c931] [102] [LogListener:onKernelTerminate:95] - PROCESS END ["cart"]  [GET, /cart, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:56:44,303901] front.INFO  [NULL] [ca094871] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,304422] front.INFO  [NULL] [ca094871] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,312911] front.INFO  [3ba18b21] [ca094871] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,333264] front.INFO  [3ba18b21] [ca094871] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:56:44,333827] front.INFO  [3ba18b21] [ca094871] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 211.185.121.31, https://www.bing.com, Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2225.0 Safari/537.36]
[2023-06-01 01:58:15,016056] front.INFO  [NULL] [15d4f9a2] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 23.108.51.35, NULL, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:15,016566] front.INFO  [NULL] [15d4f9a2] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 23.108.51.35, NULL, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:15,025146] front.INFO  [7861e7d0] [15d4f9a2] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 23.108.51.35, NULL, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:15,045896] front.INFO  [7861e7d0] [15d4f9a2] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 23.108.51.35, NULL, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:15,046481] front.INFO  [7861e7d0] [15d4f9a2] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 23.108.51.35, NULL, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:24,533688] front.INFO  [NULL] [2168bce6] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 23.108.51.35, http://biken-shop-mall.com, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:24,534359] front.INFO  [7861e7d0] [2168bce6] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 23.108.51.35, http://biken-shop-mall.com, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:24,542480] front.INFO  [7861e7d0] [2168bce6] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 23.108.51.35, http://biken-shop-mall.com, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:24,558835] front.INFO  [7861e7d0] [2168bce6] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 23.108.51.35, http://biken-shop-mall.com, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:24,559580] front.INFO  [7861e7d0] [2168bce6] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 23.108.51.35, http://biken-shop-mall.com, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:25,251789] front.INFO  [NULL] [6b70532d] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 23.108.51.35, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:25,252312] front.INFO  [7861e7d0] [6b70532d] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [POST, /contact, 23.108.51.35, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:25,260488] front.INFO  [7861e7d0] [6b70532d] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [POST, /contact, 23.108.51.35, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:25,279719] front.INFO  [7861e7d0] [6b70532d] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [POST, /contact, 23.108.51.35, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 01:58:25,280496] front.INFO  [7861e7d0] [6b70532d] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [POST, /contact, 23.108.51.35, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36]
[2023-06-01 03:15:27,728272] front.INFO  [NULL] [8fd9d89e] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 51.222.253.17, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 03:15:27,729045] front.INFO  [NULL] [8fd9d89e] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 51.222.253.17, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 03:15:27,741159] front.INFO  [c937b41f] [8fd9d89e] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 51.222.253.17, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 03:15:27,770270] front.INFO  [c937b41f] [8fd9d89e] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 51.222.253.17, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 03:15:27,771081] front.INFO  [c937b41f] [8fd9d89e] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 51.222.253.17, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 04:11:20,489862] front.INFO  [NULL] [4c3fcab1] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/list?category_id=12&name=2023, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-01 04:11:20,493950] front.INFO  [NULL] [4c3fcab1] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_list"]  [GET, /products/list?category_id=12&name=2023, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-01 04:11:20,522653] front.INFO  [93be56ce] [4c3fcab1] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_list"]  [GET, /products/list?category_id=12&name=2023, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-01 04:11:20,661041] front.INFO  [93be56ce] [4c3fcab1] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_list"]  [GET, /products/list?category_id=12&name=2023, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-01 04:11:20,661699] front.INFO  [93be56ce] [4c3fcab1] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_list"]  [GET, /products/list?category_id=12&name=2023, 40.77.167.213, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-01 05:09:29,419929] front.INFO  [NULL] [30ea35e3] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /entry, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:09:29,420522] front.INFO  [NULL] [30ea35e3] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["entry"]  [GET, /entry, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:09:29,430630] front.INFO  [9f4158d2] [30ea35e3] [NULL] [LogListener:onKernelController:73] - LOGIC START ["entry"]  [GET, /entry, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:09:29,463716] front.INFO  [9f4158d2] [30ea35e3] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["entry"]  [GET, /entry, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:09:29,464473] front.INFO  [9f4158d2] [30ea35e3] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["entry"]  [GET, /entry, 66.249.68.53, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:24:12,199110] front.INFO  [NULL] [3ab71fff] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /entry, 66.249.68.51, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:24:12,199664] front.INFO  [NULL] [3ab71fff] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["entry"]  [GET, /entry, 66.249.68.51, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:24:12,207738] front.INFO  [be5d1a70] [3ab71fff] [NULL] [LogListener:onKernelController:73] - LOGIC START ["entry"]  [GET, /entry, 66.249.68.51, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:24:12,231347] front.INFO  [be5d1a70] [3ab71fff] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["entry"]  [GET, /entry, 66.249.68.51, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-06-01 05:24:12,232005] front.INFO  [be5d1a70] [3ab71fff] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["entry"]  [GET, /entry, 66.249.68.51, NULL, Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
