[2023-04-24 00:02:30,030791] front.INFO  [NULL] [9eb6f750] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /.well-known/assetlinks.json, 66.249.68.51, NULL, Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
[2023-04-24 01:26:04,581151] front.INFO  [NULL] [ca528800] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 84.17.60.53, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:04,591992] front.INFO  [6484e181] [ca528800] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 84.17.60.53, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:04,619506] front.INFO  [6484e181] [ca528800] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 84.17.60.53, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:04,620281] front.INFO  [6484e181] [ca528800] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 84.17.60.53, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:05,491795] front.INFO  [NULL] [19bb1545] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:05,492330] front.INFO  [6484e181] [19bb1545] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:05,500192] front.INFO  [6484e181] [19bb1545] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:05,515234] front.INFO  [6484e181] [19bb1545] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:05,515961] front.INFO  [6484e181] [19bb1545] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["contact"]  [GET, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
[2023-04-24 01:26:09,387761] front.INFO  [NULL] [85639f93] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [POST, /contact, 84.17.60.53, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.51]
