[2023-06-12 05:46:03,929666] front.INFO  [3666295e] [d1fe773c] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/78, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:03,931998] front.INFO  [3666295e] [d1fe773c] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/78, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:03,932811] front.INFO  [3666295e] [d1fe773c] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/78, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,959973] front.INFO  [NULL] [83024c64] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,960635] front.INFO  [NULL] [83024c64] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,970322] front.INFO  [70c10c8f] [83024c64] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,987936] front.INFO  [70c10c8f] [83024c64] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,989331] front.INFO  [70c10c8f] [83024c64] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 05:46:04,989848] front.INFO  [70c10c8f] [83024c64] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/76, 147.92.179.116, NULL, facebookexternalhit/1.1;line-poker/1.0]
[2023-06-12 06:09:19,090047] front.INFO  [NULL] [3d7cff45] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:09:19,090792] front.INFO  [NULL] [3d7cff45] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["product_detail"]  [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:09:19,099769] front.INFO  [d9369cf7] [3d7cff45] [NULL] [LogListener:onKernelController:73] - LOGIC START ["product_detail"]  [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:09:19,116683] front.INFO  [d9369cf7] [3d7cff45] [NULL] [LogListener:onKernelException:105] -  [404]  [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:09:19,117708] front.INFO  [d9369cf7] [3d7cff45] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["product_detail"]  [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:09:19,118147] front.INFO  [d9369cf7] [3d7cff45] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["product_detail"]  [GET, /products/detail/60, 40.77.167.251, NULL, Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36]
[2023-06-12 06:37:56,861935] front.INFO  [NULL] [bdec64ba] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /, 191.101.31.70, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:56,862440] front.INFO  [NULL] [bdec64ba] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["homepage"]  [GET, /, 191.101.31.70, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:56,871486] front.INFO  [736d4041] [bdec64ba] [NULL] [LogListener:onKernelController:73] - LOGIC START ["homepage"]  [GET, /, 191.101.31.70, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:56,893386] front.INFO  [736d4041] [bdec64ba] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["homepage"]  [GET, /, 191.101.31.70, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:56,894013] front.INFO  [736d4041] [bdec64ba] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END ["homepage"]  [GET, /, 191.101.31.70, http://biken-shop-mall.com/, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:57,705163] front.INFO  [NULL] [9655cdc4] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /contact, 191.101.31.70, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:57,705670] front.INFO  [736d4041] [9655cdc4] [NULL] [LogListener:onKernelRequest:60] - PROCESS START ["contact"]  [GET, /contact, 191.101.31.70, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:57,714700] front.INFO  [736d4041] [9655cdc4] [NULL] [LogListener:onKernelController:73] - LOGIC START ["contact"]  [GET, /contact, 191.101.31.70, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
[2023-06-12 06:37:57,733306] front.INFO  [736d4041] [9655cdc4] [NULL] [LogListener:onKernelResponse:86] - LOGIC END ["contact"]  [GET, /contact, 191.101.31.70, http://biken-shop-mall.com/contact, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36 OPR/54.0.2952.64]
