[2023-06-15 13:07:18,813264] front.INFO  [NULL] [d33b07d7] [NULL] [LogListener:onKernelException:105] - No route found for "GET /wordpress" [404]  [GET, /wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,814898] front.INFO  [da441159] [d33b07d7] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:18,815198] front.INFO  [da441159] [d33b07d7] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,074116] front.INFO  [NULL] [ec7b0896] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /Wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,075507] front.INFO  [NULL] [ec7b0896] [NULL] [LogListener:onKernelException:105] - No route found for "GET /Wordpress" [404]  [GET, /Wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,077035] front.INFO  [7f5f9640] [ec7b0896] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /Wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,077347] front.INFO  [7f5f9640] [ec7b0896] [NULL] [LogListener:onKernelTerminate:95] - PROCESS END [null]  [GET, /Wordpress, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,336227] front.INFO  [NULL] [0082b680] [NULL] [LogListener:onKernelRequestEarly:47] - INIT   [GET, /WORDPRESS, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,337693] front.INFO  [NULL] [0082b680] [NULL] [LogListener:onKernelException:105] - No route found for "GET /WORDPRESS" [404]  [GET, /WORDPRESS, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
[2023-06-15 13:07:19,339389] front.INFO  [7567d3dc] [0082b680] [NULL] [LogListener:onKernelResponse:86] - LOGIC END [null]  [GET, /WORDPRESS, 75.119.150.252, NULL, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36]
