[2023-06-01 00:43:53,275966] eccube.INFO  [6e25beaf] [a17e4a7a] [NULL] [LogListener:logResponse:96] - < 200   [GET, /, 51.222.253.10, NULL, Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)]
[2023-06-01 01:29:55,891839] eccube.INFO  [NULL] [a574e877] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"68","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/68"}  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,900143] eccube.INFO  [911a137f] [a574e877] [102] [LogListener:logRequest:83] - > GET /products/detail/68   [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,931284] eccube.INFO  [911a137f] [a574e877] [102] [RouterListener:onKernelRequest:148] - Matched route "block_cart". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\CartController::index","_route":"block_cart"},"request_uri":"https://biken-shop-mall.com/block/cart"}  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,932190] eccube.INFO  [911a137f] [a574e877] [102] [RouterListener:onKernelRequest:148] - Matched route "block_search_product". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\SearchProductController::index","_route":"block_search_product"},"request_uri":"https://biken-shop-mall.com/block/search_product"}  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,935725] eccube.INFO  [911a137f] [a574e877] [102] [RouterListener:onKernelRequest:148] - Matched route "block_login". {"route_parameters":{"_controller":"\\Eccube\\Controller\\Block\\LoginController::index","_route":"block_login"},"request_uri":"https://biken-shop-mall.com/block/login"}  [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:29:55,937730] eccube.INFO  [911a137f] [a574e877] [102] [LogListener:logResponse:96] - < 200   [GET, /products/detail/68, 49.106.104.56, https://kuninaga.hp.peraichi.com/, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,146191] eccube.INFO  [NULL] [6dd614bd] [NULL] [RouterListener:onKernelRequest:148] - Matched route "product_detail". {"route_parameters":{"_controller":"\\Eccube\\Controller\\ProductController::detail","id":"68","_route":"product_detail"},"request_uri":"https://biken-shop-mall.com/products/detail/68"}  [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,153721] eccube.INFO  [911a137f] [6dd614bd] [102] [LogListener:logRequest:83] - > POST /products/detail/68?   [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
[2023-06-01 01:30:01,197515] eccube.INFO  [911a137f] [6dd614bd] [102] [LogListener:logResponse:94] - < 302 https://biken-shop-mall.com/cart   [POST, /products/detail/68?, 49.106.104.56, https://biken-shop-mall.com/products/detail/68, Mozilla/5.0 (Linux; Android 12; SC-53B Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.5563.116 Mobile Safari/537.36 Line/13.5.0/IAB]
